model-1589830625,1589830625.799,0.52,0.7051,0.59,0.6876
model-1589830625,1589830625.832,0.49,0.6951,0.6,0.6875
model-1589830625,1589830625.867,0.54,0.6972,0.58,0.6844
model-1589830625,1589830625.939,0.49,0.6932,0.66,0.6758
model-1589830625,1589830625.977,0.53,0.6864,0.57,0.6838
model-1589830625,1589830626.015,0.54,0.6916,0.59,0.6811
model-1589830625,1589830626.044,0.62,0.6811,0.6,0.6733
model-1589830625,1589830626.068,0.61,0.6771,0.61,0.6733
model-1589830625,1589830626.096,0.55,0.6755,0.62,0.6671
model-1589830625,1589830626.126,0.56,0.6702,0.63,0.6581
model-1589830625,1589830626.154,0.53,0.6755,0.66,0.6637
model-1589830625,1589830626.179,0.7,0.6597,0.68,0.6614
model-1589830625,1589830626.206,0.7,0.6528,0.79,0.6461
model-1589830625,1589830626.236,0.81,0.6419,0.82,0.6363
model-1589830625,1589830626.261,0.73,0.6493,0.83,0.6355
model-1589830625,1589830626.288,0.81,0.6342,0.75,0.6276
model-1589830625,1589830626.313,0.76,0.6296,0.69,0.6257
model-1589830625,1589830626.343,0.64,0.628,0.63,0.6254
model-1589830625,1589830626.37,0.65,0.6356,0.77,0.6137
model-1589830625,1589830626.397,0.82,0.6015,0.89,0.6085
model-1589830625,1589830626.423,0.77,0.6205,0.8,0.601
model-1589830625,1589830626.463,0.76,0.5985,0.73,0.5974
model-1589830625,1589830626.489,0.7,0.592,0.81,0.5844
model-1589830625,1589830626.521,0.84,0.5753,0.91,0.5665
model-1589830625,1589830626.551,0.88,0.5609,0.95,0.5529
model-1589830625,1589830626.584,0.86,0.5663,0.89,0.5479
model-1589830625,1589830626.615,0.95,0.5404,0.89,0.5236
model-1589830625,1589830626.647,0.87,0.5443,0.88,0.5351
model-1589830625,1589830626.68,0.86,0.5351,0.9,0.5096
model-1589830625,1589830626.705,0.94,0.5205,0.94,0.4976
model-1589830625,1589830626.736,0.87,0.5203,0.84,0.5082
model-1589830625,1589830626.763,0.83,0.5166,0.9,0.4969
model-1589830625,1589830626.791,0.94,0.4818,0.9,0.4772
model-1589830625,1589830626.825,0.96,0.4624,0.91,0.4618
model-1589830625,1589830626.853,0.91,0.44,0.81,0.4794
model-1589830625,1589830626.882,0.76,0.4902,0.9,0.4334
model-1589830625,1589830626.912,0.89,0.4738,0.83,0.4356
model-1589830625,1589830626.945,0.84,0.4553,0.83,0.4226
model-1589830625,1589830626.972,0.78,0.455,0.9,0.399
model-1589830625,1589830626.999,0.91,0.4081,0.89,0.3972
model-1589830625,1589830627.029,0.92,0.3983,0.9,0.4012
model-1589830625,1589830627.061,0.9,0.4146,0.89,0.3909
model-1589830625,1589830627.094,0.93,0.3495,0.93,0.3608
model-1589830625,1589830627.124,0.91,0.3441,0.93,0.3494
model-1589830625,1589830627.157,0.89,0.3521,0.88,0.3541
model-1589830625,1589830627.194,0.91,0.3639,0.96,0.3225
model-1589830625,1589830627.228,0.87,0.3424,0.94,0.3135
model-1589830625,1589830627.264,0.92,0.3176,0.89,0.3307
model-1589830625,1589830627.298,0.93,0.3185,0.93,0.3054
model-1589830625,1589830627.332,0.97,0.2504,0.92,0.2879
model-1589830625,1589830627.367,0.93,0.2962,0.93,0.2862
model-1589830625,1589830627.394,0.92,0.3026,0.94,0.2775
model-1589830625,1589830627.429,0.95,0.2507,0.92,0.2651
model-1589830625,1589830627.467,0.94,0.263,0.92,0.2733
model-1589830625,1589830627.499,0.95,0.2551,0.9,0.2794
model-1589830625,1589830627.532,0.95,0.267,0.95,0.2449
model-1589830625,1589830627.57,0.97,0.2492,0.94,0.2292
model-1589830625,1589830627.603,0.93,0.2542,0.93,0.2391
model-1589830625,1589830627.634,0.96,0.2161,0.92,0.2366
model-1589830625,1589830627.664,0.93,0.2169,0.93,0.203
model-1589830625,1589830627.706,0.97,0.2034,0.92,0.2195
model-1589830625,1589830627.739,0.95,0.2373,0.9,0.2509
model-1589830625,1589830627.765,0.94,0.254,0.94,0.2084
model-1589830625,1589830627.796,0.98,0.1882,0.94,0.1992
model-1589830625,1589830627.83,0.93,0.2114,0.93,0.2015
model-1589830625,1589830627.861,0.95,0.2078,0.95,0.183
model-1589830625,1589830627.892,0.95,0.2121,0.91,0.2001
model-1589830625,1589830627.923,0.95,0.1688,0.92,0.1915
model-1589830625,1589830627.956,0.97,0.1588,0.94,0.1876
model-1589830625,1589830627.988,0.94,0.2161,0.93,0.1802
model-1589830625,1589830628.017,0.92,0.1822,0.95,0.1644
model-1589830625,1589830628.05,0.91,0.1955,0.93,0.1891
model-1589830625,1589830628.083,0.95,0.1478,0.93,0.1802
model-1589830625,1589830628.115,0.94,0.1899,0.94,0.1796
model-1589830625,1589830628.146,0.99,0.1217,0.95,0.1691
model-1589830625,1589830628.177,0.94,0.1675,0.93,0.1605
model-1589830625,1589830628.209,0.94,0.1675,0.93,0.1818
model-1589830625,1589830628.241,0.95,0.1394,0.95,0.1625
model-1589830625,1589830628.272,0.96,0.1421,0.94,0.1611
model-1589830625,1589830628.303,0.98,0.0991,0.92,0.154
model-1589830625,1589830628.336,0.95,0.15,0.93,0.1536
model-1589830625,1589830628.365,0.96,0.1423,0.94,0.1726
model-1589830625,1589830628.395,0.97,0.1207,0.94,0.1724
model-1589830625,1589830628.426,0.95,0.1634,0.93,0.1604
